,Catégorie,Nom du médicament,Espace thérapeutique,Dénomination commune internationale (DCI) / nom commun,Substance active,Numéro de produit,Sécurité du patient,Statut d'autorisation,Code ATC,Surveillance supplémentaire,Générique,Biosimilaire,Approbation conditionnelle,Circonstances exceptionnelles,Évaluation accélérée,Médecine orpheline,Date de l'autorisation de mise sur le marché,Date de refus d'autorisation de mise sur le marché,Titulaire de l'autorisation de mise sur le marché/nom de l'entreprise,Groupe pharmacothérapeutique humain,Groupe pharmacothérapeutique vétérinaire,Date de l'avis,Date de décision,Numéro de révision,État/indication,Première publication,Date de révision,URL,usage_df1,risque
0,Human,Ryeqo,Léiomyome,"relugolix, estradiol, norethisterone acetate","Relugolix, norethisterone acetate, estradiol hemihydrate",EMEA/H/C/005267,no,Authorised,H01CC54,yes,no,no,no,no,no,no,2021-07-16 00:00:00,,Gedeon Richter Plc.,Pituitary and hypothalamic hormones and analogues,,2021-07-16 00:00:00,2023-10-30 01:00:00,6.0,"Ryeqo est indiqué chez les femmes adultes en âge de procréer pour : - le traitement des symptômes modérés à sévères des fibromes utérins, - le traitement symptomatique de l'endométriose chez les femmes ayant des antécédents de traitement médical ou chirurgical de leur endométriose.",2021-05-19 14:14:00,2023-12-04 18:41:00,https://www.ema.europa.eu/en/medicines/human/EPAR/ryeqo,"Comment Ryeqo est-il utilisé ?
Le médicament ne peut être obtenu que sur ordonnance et le traitement doit être instauré par un médecin expérimenté dans le diagnostic et le traitement des fibromes utérins ou de l'endométriose.
Ryeqo est disponible sous forme de tablettes. La dose recommandée est d'un comprimé par jour à peu près à la même heure chaque jour. Le traitement doit commencer dans les 5 jours suivant le début des règles pour éviter des saignements initiaux irréguliers ou abondants. Après le début du traitement, Ryeqo peut être pris sans interruption.","Quels sont les risques associés à Ryeqo ?
Les effets secondaires les plus courants sous Ryeqo (qui peuvent affecter jusqu’à 1 personne sur 10) comprennent les maux de tête, les bouffées de chaleur et les saignements utérins.
Ryeqo ne doit pas être utilisé chez les femmes qui ont ou ont eu une thromboembolie veineuse (caillots sanguins dans les veines) ou chez celles qui ont eu un accident vasculaire cérébral ou une crise cardiaque. Il ne doit pas non plus être utilisé chez les femmes souffrant d'un trouble de la coagulation sanguine, d'ostéoporose, de migraines ou de maux de tête accompagnés de symptômes neurologiques, de cancers influencés par les hormones sexuelles (comme le cancer du sein ou le cancer génital), de tumeurs hépatiques ou d'une fonction hépatique anormale, ou chez les femmes enceintes, qui allaitent ou qui présentent des saignements génitaux de cause inconnue."
1,Human,Yesafili,Œdème maculaire ; Occlusion de la veine rétinienne ; La rétinopathie diabétique; Myopie dégénérative ; Complications du diabète,aflibercept,aflibercept,EMEA/H/C/006022,no,Authorised,S01LA05,yes,no,yes,no,no,no,no,2023-09-15 00:00:00,,Viatris Limited,Ophthalmologicals,,2023-07-20 00:00:00,2023-11-29 01:00:00,1.0,"Yesafili est indiqué chez l'adulte pour le traitement de la dégénérescence maculaire liée à l'âge (DMLA) néovasculaire (humide) (voir rubrique 5.1), de la déficience visuelle due à un œdème maculaire secondaire à une occlusion de la veine rétinienne (OVR de branche ou OVR centrale) (voir rubrique 5.1), déficience visuelle due à un œdème maculaire diabétique (OMD) (voir rubrique 5.1), déficience visuelle due à une néovascularisation choroïdienne myope (NVC myopique) (voir rubrique 5.1).",2023-07-17 16:27:00,2023-12-04 18:15:00,https://www.ema.europa.eu/en/medicines/human/EPAR/yesafili,"Comment Yesafil est-il utilisé ?
Yesafili est disponible sous forme de flacons contenant une solution pour injection intravitréenne (injection dans l'humeur vitrée, le liquide gélatineux situé à l'intérieur de l'œil). Il ne peut être obtenu que sur ordonnance et doit être administré par un médecin expérimenté dans les injections intravitréennes.","Quels sont les risques associés à Yesafil ?
La sécurité de Yesafili a été évaluée et, sur la base de l'étude réalisée, les effets secondaires du médicament sont considérés comme comparables à ceux du médicament de référence Eylea.
Pour la liste complète des effets secondaires et des restrictions de Yesafili, voir la notice.
Les effets indésirables les plus couramment observés sous Yesafili (qui peuvent affecter plus d'une personne sur 20) comprennent l'hémorragie conjonctivale (saignement des petits vaisseaux sanguins à la surface de l'œil au site d'injection), l'hémorragie rétinienne (saignement à l'arrière de l'œil). œil), vision réduite, douleur oculaire, décollement du corps vitré (détachement de la substance gélatineuse à l'intérieur de l'œil), cataracte (opacification du cristallin), corps flottants du corps vitré (petites formes sombres se déplaçant dans le champ de vision) et augmentation de la pression intraoculaire (augmentation de la pression à l’intérieur de l’œil)."
2,Human,Leflunomide medac,Arthrite rhumatoïde,leflunomide,leflunomide,EMEA/H/C/001227,no,Authorised,L04AA13,no,yes,no,no,no,no,no,2010-07-27 00:00:00,,medac Gesellschaft für klinische Spezialpräparate mbH,Selective immunosuppressants,,,2023-10-31 01:00:00,19.0,"Le léflunomide est indiqué pour le traitement des patients adultes atteints de : polyarthrite rhumatoïde active en tant que « médicament antirhumatismal modificateur de la maladie » (DMARD). Un traitement récent ou concomitant par des DMARD hépatotoxiques ou hématotoxiques (par exemple le méthotrexate) peut entraîner un risque accru d'effets indésirables graves. par conséquent, l'instauration d'un traitement par le léflunomide doit être soigneusement étudiée en ce qui concerne ces aspects bénéfice/risque. De plus, le passage du léflunomide à un autre traitement de fond sans suivre la procédure de sevrage peut également augmenter le risque d'effets indésirables graves, même longtemps après le changement. .",2018-01-30 14:10:00,2023-12-04 17:56:00,https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-medac,"Comment Léflunomide medac est-il utilisé ?
Le traitement par Léflunomide medac doit être instauré et supervisé par un spécialiste expérimenté dans le traitement de la polyarthrite rhumatoïde et du rhumatisme psoriasique. Le médecin doit effectuer des analyses de sang pour vérifier le foie du patient, le nombre de globules blancs et le nombre de plaquettes avant de prescrire Léflunomide medac et régulièrement pendant le traitement.","Quels sont les avantages et les risques de Léflunomide medac ?
Leflunomide medac étant un médicament générique et bioéquivalent au médicament de référence, ses bénéfices et ses risques sont considérés comme étant les mêmes que ceux du médicament de référence."
3,Human,Filgrastim Hexal,Neutropénie ; Transplantation de cellules souches hématopoïétiques ; Cancer,filgrastim,filgrastim,EMEA/H/C/000918,no,Authorised,L03AA02,no,no,yes,no,no,no,no,2009-02-06 01:00:00,,Hexal AG,"Immunostimulants, ",,,2023-11-30 01:00:00,24.0,"Réduction de la durée de la neutropénie et de l'incidence de la neutropénie fébrile chez les patients traités par chimiothérapie cytotoxique établie pour une tumeur maligne (à l'exception de la leucémie myéloïde chronique et des syndromes myélodysplasiques) et réduction de la durée de la neutropénie chez les patients recevant un traitement myéloablatif suivi d'un traitement par la moelle osseuse. transplantation est considérée comme présentant un risque accru de neutropénie sévère prolongée. La sécurité et l'efficacité du filgrastim sont similaires chez les adultes et les enfants recevant une chimiothérapie cytotoxique. Mobilisation des cellules progénitrices du sang périphérique (PBPC). Chez les enfants et les adultes atteints de maladies congénitales, cycliques ou idiopathiques graves. neutropénie avec un nombre absolu de neutrophiles (ANC) ≤ 0,5 x 109/l et des antécédents d'infections graves ou récurrentes, l'administration à long terme de filgrastim est indiquée pour augmenter le nombre de neutrophiles et pour réduire l'incidence et la durée des infections liées. Traitement de la neutropénie persistante (ANC ≤ 0,5 x 109/l) et des antécédents d'infections sévères ou récurrentes, l'administration à long terme de filgrastim est indiquée pour augmenter le nombre de neutrophiles et pour réduire l'incidence et la durée des événements liés à l'infection. chez les patients présentant une infection avancée par le VIH, afin de réduire le risque d'infections bactériennes lorsque les autres options thérapeutiques sont inappropriées.",2018-05-24 17:15:00,2023-12-04 17:43:00,https://www.ema.europa.eu/en/medicines/human/EPAR/filgrastim-hexal,"Comment Filgrastim Hexal est-il utilisé ?
Filgrastim Hexal est administré par injection sous la peau ou par perfusion dans une veine. La manière dont il est administré, la dose et la durée du traitement dépendent de la raison pour laquelle il est utilisé, du poids corporel du patient et de la réponse au traitement. Filgrastim Hexal est généralement administré dans un centre de traitement spécialisé, bien que les patients qui le reçoivent par injection sous la peau puissent s'injecter eux-mêmes après avoir reçu une formation appropriée. Pour plus d'informations, consultez le .","Quel est le risque associé à Filgrastim Hexal ?
L’effet indésirable le plus couramment observé sous Filgrastim Hexal (observé chez plus d’un patient sur 10) est une douleur musculo-squelettique (douleur dans les muscles et les os). D'autres effets indésirables peuvent être observés chez plus d'un patient sur 10, en fonction de l'affection pour laquelle Filgrastim Hexal est utilisé. Pour la liste complète de tous les effets secondaires rapportés avec Filgrastim Hexal, voir la notice."
4,Human,Opzelura,Vitiligo,ruxolitinib,ruxolitinib phosphate,EMEA/H/C/005843,no,Authorised,D11AH,no,no,no,no,no,no,no,2023-04-19 00:00:00,,Incyte Biosciences Distribution B.V.,Other dermatological preparations,,2023-02-23 01:00:00,2023-10-19 00:00:00,2.0,Opzelura est indiqué dans le traitement du vitiligo non segmentaire avec atteinte faciale chez l'adulte et l'adolescent à partir de 12 ans.,2023-02-22 15:05:00,2023-12-04 17:35:00,https://www.ema.europa.eu/en/medicines/human/EPAR/opzelura,"Comment Opzelura est-il utilisé ?
Opzelura n'est délivré que sur ordonnance et le traitement doit être instauré et supervisé par un médecin expérimenté dans le diagnostic et le traitement du vitiligo non segmentaire.
Opzelura se présente sous forme de crème à appliquer sur la peau dépigmentée deux fois par jour. Opzelura ne doit pas être appliqué simultanément sur plus de 10 % du corps.
Un traitement peut être nécessaire pendant plus de 6 mois pour obtenir une repigmentation satisfaisante de la peau (retour de la couleur de la peau). Le médecin pourra arrêter le traitement s'il n'y a pas d'amélioration satisfaisante après un an de traitement.","Quels sont les risques liés à Opzelura ?
Pour la liste complète des effets secondaires et des restrictions liés à Opzelura, voir la notice.
L’effet indésirable le plus couramment observé sous Opzelura (qui peut affecter jusqu’à 1 personne sur 10) est l’acné au niveau de la zone où le médicament a été appliqué."
5,Human,Ziextenzo,Neutropénie,pegfilgrastim,pegfilgrastim,EMEA/H/C/004802,no,Authorised,L03AA13,no,no,yes,no,no,no,no,2018-11-22 01:00:00,,Sandoz GmbH,"Immunostimulants, ",,2018-09-20 00:00:00,2023-11-30 01:00:00,9.0,Réduction de la durée de la neutropénie et de l'incidence de la neutropénie fébrile chez les patients adultes traités par chimiothérapie cytotoxique pour tumeur maligne (à l'exception de la leucémie myéloïde chronique et des syndromes myélodysplasiques).,2018-09-21 14:01:00,2023-12-04 17:17:00,https://www.ema.europa.eu/en/medicines/human/EPAR/ziextenzo,"Comment Ziextenzo est-il utilisé ?
Ziextenzo n'est délivré que sur ordonnance et le traitement doit être instauré et supervisé par un médecin expérimenté dans le traitement du cancer ou des troubles sanguins. Il est disponible sous forme de seringue préremplie contenant une solution injectable sous la peau. Ziextenzo est administré en dose unique de 6 mg injectée sous la peau au moins 24 heures après la fin de chaque cycle de chimiothérapie (traitement avec des médicaments anticancéreux). Les patients peuvent s’injecter eux-mêmes s’ils ont été formés de manière appropriée.","Quels sont les risques associés à Ziextenzo ?
La sécurité de Ziextenzo a été évaluée et, sur la base de toutes les études réalisées, les effets secondaires du médicament sont considérés comme comparables à ceux du médicament de référence Neulasta. L’effet secondaire le plus couramment observé sous Ziextenzo (qui peut toucher plus d’une personne sur 10) est une douleur osseuse. Les douleurs musculaires sont également courantes. Pour la liste complète des effets secondaires et des restrictions liés à Ziextenzo, consultez le ."
6,Human,Qutenza,Névralgie,capsaicin,capsaicin,EMEA/H/C/000909,no,Authorised,N01BX04,no,no,no,no,no,no,no,2009-05-15 00:00:00,,Grunenthal GmbH,Anesthetics,,2009-03-19 01:00:00,2023-12-01 01:00:00,19.0,"Qutenza est indiqué dans le traitement des douleurs neuropathiques périphériques chez l'adulte, seul ou en association avec d'autres médicaments contre la douleur.",2017-08-24 00:00:00,2023-12-04 17:14:00,https://www.ema.europa.eu/en/medicines/human/EPAR/qutenza,"Comment Qutenza est-il utilisé ?
Qutenza doit être appliqué par un médecin ou par un professionnel de santé sous la surveillance d'un médecin. Il s'applique sur les zones cutanées les plus douloureuses. La zone douloureuse doit être déterminée par un médecin et marquée sur la peau. Qutenza ne peut être appliqué que sur une peau sèche, intacte et non irritée.","Quel est le risque associé à Qutenza ?
Les effets indésirables les plus fréquemment observés sous Qutenza (observés chez plus d’un patient sur 10) sont des douleurs et des rougeurs au site d’application. Pour la liste complète de tous les effets secondaires et restrictions liés à Qutenza, consultez le ."
7,Human,Levitra,Dysfonction érectile,vardenafil,vardenafil,EMEA/H/C/000475,no,Authorised,G04BE09,no,no,no,no,no,no,no,2003-03-06 01:00:00,,Bayer AG ,Urologicals,,,2023-11-30 01:00:00,33.0,"Traitement de la dysfonction érectile chez l'homme adulte. La dysfonction érectile est l'incapacité d'obtenir ou de maintenir une érection pénienne suffisante pour une performance sexuelle satisfaisante. Pour que Levitra soit efficace, une stimulation sexuelle est nécessaire. Levitra n'est pas indiqué chez les femmes.",2018-04-19 00:00:00,2023-12-04 17:02:00,https://www.ema.europa.eu/en/medicines/human/EPAR/levitra,"Comment le Levitra est-il utilisé ?
La dose recommandée de Levitra est de 10 mg, à prendre environ 25 à 60 minutes avant l'activité sexuelle. Les comprimés orodispersibles doivent être pris sans liquide. Si les comprimés pelliculés Levitra sont pris avec un repas riche en graisses, le début de l'activité peut être retardé. La dose des comprimés pelliculés peut être augmentée jusqu'à un maximum de 20 mg ou diminuée jusqu'à 5 mg, en fonction de l'efficacité du traitement et des éventuels effets secondaires.","Quel est le risque associé au Levitra ?
L’effet secondaire le plus couramment observé sous Levitra (observé chez plus d’un patient sur 10) est le mal de tête. Pour la liste complète de tous les effets secondaires signalés avec Levitra, consultez la notice.
Levitra ne doit pas être utilisé chez les personnes hypersensibles (allergiques) au vardénafil ou à l'un des autres ingrédients. Il ne doit pas être utilisé lorsque l’activité sexuelle est déconseillée, comme chez les hommes souffrant d’une maladie cardiaque grave. Il ne doit pas non plus être utilisé chez les patients ayant déjà subi une perte de vision en raison d'un problème de circulation sanguine vers le nerf de l'œil (neuropathie optique ischémique antérieure non artéritique ou NOIAN). Levitra ne doit pas être pris avec des nitrates (médicaments utilisés pour traiter l'angine de poitrine).
Étant donné que Levitra n'a pas été étudié chez les patients du groupe suivant, ceux-ci ne doivent pas utiliser le médicament :"
8,Human,Rilutek,La sclérose latérale amyotrophique,riluzole,Riluzole,EMEA/H/C/000109,no,Authorised,N07XX02,no,no,no,no,no,no,no,1996-06-10 00:00:00,,Sanofi Winthrop Industrie,Other nervous system drugs,,1996-02-14 01:00:00,2023-11-15 01:00:00,32.0,"Rilutek est indiqué pour prolonger la vie ou le délai de ventilation mécanique chez les patients atteints de sclérose latérale amyotrophique (SLA). Des essais cliniques ont démontré que Rilutek prolonge la survie des patients atteints de SLA. La survie a été définie comme des patients vivants, non intubés pour une ventilation mécanique et sans trachéotomie. Il n'existe aucune preuve que Rilutek exerce un effet thérapeutique sur la fonction motrice, la fonction pulmonaire, les fasciculations, la force musculaire et les symptômes moteurs. Rilutek ne s'est pas révélé efficace aux stades avancés de la SLA. La sécurité et l'efficacité de Rilutek ont n'a été étudié que dans la SLA. Par conséquent, Rilutek ne doit pas être utilisé chez les patients présentant une autre forme de maladie du motoneurone.",2017-11-13 01:09:00,2023-12-04 16:28:00,https://www.ema.europa.eu/en/medicines/human/EPAR/rilutek,"Comment Rilutek est-il utilisé ?
Le traitement par Rilutek ne doit être instauré que par un médecin spécialiste expérimenté dans la prise en charge des maladies des motoneurones. La dose recommandée est de 100 mg par jour (administrée sous forme d'un comprimé de 50 mg toutes les 12 heures). Pour plus d'informations, consultez le .","Quel est le risque associé à Rilutek ?
Les effets indésirables les plus fréquemment observés avec Rilutek (chez plus d’un patient sur 10) sont les nausées (envie de vomir), l’asthénie (faiblesse) et des tests hépatiques anormaux. Pour la liste complète de tous les effets secondaires rapportés avec Rilutek, voir la notice.
Rilutek ne doit pas être utilisé chez les patients atteints d'une maladie du foie ou présentant des taux anormalement élevés d'enzymes hépatiques. Rilutek ne doit pas non plus être administré aux femmes enceintes ou qui allaitent. Pour la liste complète des restrictions, consultez le ."
9,Human,Clopidogrel Krka,Maladies vasculaires périphériques ; Accident vasculaire cérébral; Infarctus du myocarde,clopidogrel,clopidogrel (as hydrochloride),EMEA/H/C/001056,no,Authorised,B01AC04,no,yes,no,no,no,no,no,2009-09-23 00:00:00,,"Krka, d.d., Novo mesto",Antithrombotic agents,,2009-06-25 00:00:00,2023-12-01 01:00:00,19.0,"Le clopidogrel est indiqué chez l'adulte pour la prévention des événements athérothrombotiques chez : Les patients souffrant d'un infarctus du myocarde (de quelques jours à moins de 35 jours), d'un accident vasculaire cérébral ischémique (de 7 jours à moins de 6 mois) ou d'une maladie artérielle périphérique établie.",2018-04-17 00:00:00,2023-12-04 16:13:00,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-krka,"Comment Clopidogrel Krka est-il utilisé ?
Clopidogrel Krka est disponible sous forme de comprimés contenant 75 mg de clopidogrel. La dose standard est d'un comprimé de 75 mg une fois par jour.
Dans le syndrome coronarien aigu, le traitement commence généralement par une dose de charge de quatre comprimés. Ceci est ensuite suivi de la dose standard de 75 mg une fois par jour pendant au moins quatre semaines (en cas d'infarctus du myocarde avec « élévation du segment ST ») ou jusqu'à 12 mois (en cas d'angor instable ou d'infarctus du myocarde « sans onde Q »). .
Dans le syndrome coronarien aigu et la fibrillation auriculaire, Clopidogrel Krka est utilisé avec de l'aspirine, dont la dose ne doit pas dépasser 100 mg.
Clopidogrel Krka ne peut être obtenu que sur ordonnance.","Quels sont les bénéfices et les risques de Clopidogrel Krka ?
Clopidogrel Krka étant un médicament générique et bioéquivalent au médicament de référence, ses bénéfices et ses risques sont considérés comme étant les mêmes que ceux du médicament de référence."
